contrato_id,codigo,data_base,saldo_base_bruto,saldo_convertido_real,fator_nominal,inflado
621,7232,1991-08-30,1014169.07,0.37,2750000,SIM
3023,370,1994-02-28,996133.99,362.23,2750,NAO
2367,5331,1993-12-30,976947.20,355.25,2750,NAO
714,7327,1991-06-30,975277.05,0.35,2750000,NAO
1466,6415,1990-11-30,961628.36,0.35,2750000,NAO
3119,6973,1988-04-30,945077.55,0.00,2750000000,NAO
3007,149,1991-05-30,894096.13,0.33,2750000,NAO
433,7042,1991-05-30,889753.13,0.32,2750000,NAO
154,706,1991-02-15,863662.42,0.31,2750000,NAO
965,1178,1991-05-30,831106.65,0.30,2750000,NAO
1020,1218,1991-10-30,805027.33,0.29,2750000,NAO
3013,283,1994-02-28,798705.49,290.44,2750,NAO
3024,371,1991-04-30,757998.23,0.28,2750000,NAO
3011,271,1991-04-30,740835.75,0.27,2750000,NAO
2166,5129,1990-07-30,712516.01,0.26,2750000,NAO
3124,5737,1988-06-30,701317.85,0.00,2750000000,NAO
2146,5109,1990-08-30,699702.86,0.25,2750000,NAO
1388,6337,1990-07-30,688353.25,0.25,2750000,NAO
3015,321,1994-04-30,657367.17,239.04,2750,NAO
3006,140,1991-03-30,634810.18,0.23,2750000,NAO
2813,5785,1990-11-30,623943.12,0.23,2750000,NAO
3088,6503,1988-03-30,612180.72,0.00,2750000000,NAO
3020,351,1994-05-30,599985.26,218.18,2750,NAO
1631,6582,1988-02-28,598928.73,0.00,2750000000,NAO
1841,6797,1990-04-30,593907.11,0.22,2750000,NAO
1788,6743,1990-08-30,587856.21,0.21,2750000,NAO
1492,6441,1990-05-30,578603.89,0.21,2750000,NAO
2056,5018,1990-07-30,576805.55,0.21,2750000,NAO
3005,132,1988-12-15,568383.67,0.00,2750000000,NAO
220,902,1993-10-30,562219.54,204.44,2750,NAO
169,862,1990-12-30,486948.28,0.18,2750000,NAO
2323,5286,1993-09-30,470210.10,170.99,2750,NAO
2174,5137,1993-09-30,467019.71,169.83,2750,NAO
3080,872,1988-05-30,466706.19,0.00,2750000000,NAO
2801,5773,1990-08-30,446422.75,0.16,2750000,NAO
3118,6539,1987-12-30,431393.83,0.00,2750000000,NAO
3095,6990,1987-12-30,427181.33,0.00,2750000000,NAO
3091,6713,1987-12-30,426594.86,0.00,2750000000,NAO
344,4113,1991-12-15,403350.06,0.15,2750000,NAO
2244,5207,1988-01-30,401581.87,0.00,2750000000,NAO
2793,5765,1991-05-30,378849.21,0.14,2750000,NAO
1666,6618,1987-08-30,364433.70,0.00,2750000000,NAO
104,572,1993-09-30,357620.13,130.04,2750,NAO
903,775,1990-06-30,355733.22,0.13,2750000,NAO
3009,158,1993-12-30,317906.59,115.60,2750,NAO
2706,5675,1987-09-30,302111.20,0.00,2750000000,NAO
808,7537,1991-08-15,299765.03,0.11,2750000,NAO
3097,5067,1987-12-30,282213.24,0.00,2750000000,NAO
3121,5559,1987-12-30,279589.91,0.00,2750000000,NAO
3122,5651,1987-11-30,279390.16,0.00,2750000000,NAO
860,7590,1994-01-15,255945.30,93.07,2750,NAO
823,7552,1991-06-15,239133.40,0.09,2750000,NAO
827,7557,1991-06-15,239133.40,0.09,2750000,NAO
3012,272,1994-02-28,229867.03,83.59,2750,NAO
3077,480,1987-12-30,221772.14,0.00,2750000000,NAO
3127,7601,1988-08-05,204896.74,0.00,2750000000,NAO
806,7535,1991-06-15,195974.01,0.07,2750000,NAO
3101,5802,1987-03-30,185885.34,0.00,2750000000,NAO
3086,814,1987-07-30,180835.32,0.00,2750000000,NAO
809,7538,1991-01-15,174893.92,0.06,2750000,NAO
4270,5482,1987-06-30,169340.04,0.00,2750000000,NAO
3081,7184,1987-12-30,167044.39,0.00,2750000000,NAO
3084,7309,1987-12-30,162820.17,0.00,2750000000,NAO
414,7023,1993-09-30,161831.34,58.85,2750,NAO
3126,7591,1988-06-05,122179.37,0.00,2750000000,NAO
1505,6454,1990-01-30,121631.75,0.04,2750000,NAO
3096,5012,1986-11-30,107212.78,0.00,2750000000,NAO
3094,6828,1986-07-30,105599.19,0.00,2750000000,NAO
5315,6548,1987-02-28,105273.68,0.00,2750000000,NAO
1205,006152,1986-12-30,104041.18,0.00,2750000000,NAO
3090,6620,1986-12-30,103440.40,0.00,2750000000,NAO
783,7512,1993-11-15,100414.64,36.51,2750,NAO
3103,5888,1986-12-30,87114.27,0.00,2750000000,NAO
826,7556,1990-09-15,79101.80,0.03,2750000,NAO
820,7549,1990-06-15,70084.12,0.03,2750000,NAO
3100,5708,1986-12-30,69514.62,0.00,2750000000,NAO
3102,5855,1986-12-30,69206.10,0.00,2750000000,NAO
3004,110,1990-02-28,66499.03,0.02,2750000,NAO
3085,741,1986-12-15,52693.75,0.00,2750000000,NAO
3073,942,1990-02-15,50142.35,0.02,2750000,NAO
2226,5189,1989-10-30,44108.74,0.02,2750000,NAO
6204,7555,1987-08-05,43725.07,0.00,2750000000,NAO
3116,1628,1986-11-30,42727.38,0.00,2750000000,NAO
3111,386,1986-10-30,40203.18,0.00,2750000000,NAO
2842,5815,1989-12-30,38643.36,0.01,2750000,NAO
2222,5185,1989-11-30,38556.35,0.01,2750000,NAO
3321,627,1986-04-30,36627.18,0.00,2750000000,NAO
3114,523,1986-07-15,35057.06,0.00,2750000000,NAO
3070,858,1990-01-15,33896.05,0.01,2750000,NAO
4812,6045,1989-09-30,29740.67,0.01,2750000,NAO
3105,156,1986-07-15,15281.14,0.00,2750000000,NAO
635,7246,1989-11-30,14689.40,0.01,2750000,NAO
1633,6584,1989-04-30,11478.83,0.00,2750000,NAO
2788,5760,1989-09-30,11349.14,0.00,2750000,NAO
3052,623,1989-11-30,11204.32,0.00,2750000,NAO
3109,339,1987-04-30,10532.33,0.00,2750000000,NAO
3053,625,1989-11-30,9490.62,0.00,2750000,NAO
2151,5114,1989-05-30,8723.92,0.00,2750000,NAO
3047,568,1989-10-30,8419.23,0.00,2750000,NAO
3032,422,1989-08-30,7687.73,0.00,2750000,NAO
2472,5437,1989-05-30,7336.67,0.00,2750000,NAO
3089,6596,1989-02-28,7008.70,0.00,2750000,NAO
3092,6716,1989-01-30,6436.65,0.00,2750000,NAO
906,780,1989-04-30,5838.48,0.00,2750000,NAO
3030,416,1989-08-15,4891.06,0.00,2750000,NAO
862,7593,1989-12-15,4665.03,0.00,2750000,NAO
2292,5255,1989-03-30,4647.23,0.00,2750000,NAO
856,7586,1989-11-15,4353.93,0.00,2750000,NAO
763,7376,1989-06-30,4191.27,0.00,2750000,NAO
3110,353,1989-05-30,2714.04,0.00,2750000,NAO
3029,394,1989-07-15,2680.69,0.00,2750000,NAO
326,4095,1989-04-15,2102.12,0.00,2750000,NAO
785,7514,1989-07-15,2090.32,0.00,2750000,NAO
3014,285,1989-02-28,1963.84,0.00,2750000,NAO
3107,289,1989-04-28,1178.85,0.00,2750000,NAO
